idsensore,tipologia,unit_dimisura,idstazione,nomestazione,quota,provincia,datastart,storico,cgb_nord,cgb_est,lng,lat,location,:@computed_region_af5v_nc64,datastop
10376,Precipitazione,mm,706,Lecco v.Sora,272,LC,2008-07-22T00:00:00.000,N,5078987,531045,9.39995481,45.86375372,"{'type': 'Point', 'coordinates': [9.39995481, 45.86375372]}",5,
19061,Velocità Vento,m/s,535,Lacchiarella v.Molise,97,MI,2013-10-30T00:00:00.000,N,5019010,510542,9.13452950,45.32452314,"{'type': 'Point', 'coordinates': [9.1345295, 45.32452314]}",8,
2134,Temperatura,°C,110,Gonzaga Palidano,22,MN,1998-01-01T00:00:00.000,N,4980052,638675,10.75828107,44.96037167,"{'type': 'Point', 'coordinates': [10.75828107, 44.96037167]}",4,
18261,Livello Idrometrico,cm,1864,Vistarino,73,PV,2018-07-29T00:00:00.000,N,5004817,524815,9.31593125,45.19640116,"{'type': 'Point', 'coordinates': [9.31593125, 45.19640116]}",6,
9862,Direzione Vento,°,672,Cornale v.Libertà,74,PV,2005-07-28T00:00:00.000,N,4987406,493238,8.91415717,45.04008561,"{'type': 'Point', 'coordinates': [8.91415717, 45.04008561]}",6,
2275,Radiazione Globale,W/m²,119,San Giovanni Bianco Cornalita,622,BG,2003-09-12T00:00:00.000,N,5079768,549604,9.63912077,45.86969697,"{'type': 'Point', 'coordinates': [9.63912077, 45.86969697]}",1,
14145,Umidità Relativa,%,1330,Olgiate Comasco v.Repubblica,400,CO,2012-04-18T00:00:00.000,N,5068834,497872,8.97262961,45.77306208,"{'type': 'Point', 'coordinates': [8.97262961, 45.77306208]}",3,
4033,Precipitazione,mm,143,Livigno Passo Foscagno,2320,SO,2002-06-02T00:00:00.000,N,5149692,592662,10.20748854,46.49442378,"{'type': 'Point', 'coordinates': [10.20748854, 46.49442378]}",7,
9020,Temperatura,°C,1222,Cavargna,1100,CO,2004-04-09T00:00:00.000,N,5104225,508568,9.11084686,46.09155206,"{'type': 'Point', 'coordinates': [9.11084686, 46.09155206]}",7,
2083,Umidità Relativa,%,106,Varzi Nivione,500,PV,2001-05-15T00:00:00.000,N,4961571,514194,9.17949163,44.80739989,"{'type': 'Point', 'coordinates': [9.17949163, 44.80739989]}",6,
14377,Direzione Vento,°,1360,Clusone SP 671,564,BG,2012-11-16T00:00:00.000,N,5081243,572409,9.93314133,45.88094706,"{'type': 'Point', 'coordinates': [9.93314133, 45.88094706]}",1,
9103,Precipitazione,mm,1237,Monno,1728,BS,2004-10-11T00:00:00.000,N,5122691,600885,10.30880700,46.25030272,"{'type': 'Point', 'coordinates': [10.308807, 46.25030272]}",7,
10553,Direzione Vento,°,554,Saronno v.Santuario,212,VA,2010-07-06T00:00:00.000,N,5052646,502058,9.02640138,45.62735705,"{'type': 'Point', 'coordinates': [9.02640138, 45.62735705]}",3,
9097,Precipitazione,mm,1216,Valbondione,1784,BG,2000-12-01T00:00:00.000,N,5101745,580328,10.03860694,46.06456797,"{'type': 'Point', 'coordinates': [10.03860694, 46.06456797]}",1,
14476,Precipitazione,mm,1367,Bagolino SP669,775,BS,2012-12-12T00:00:00.000,N,5077140,612773,10.45219900,45.83860244,"{'type': 'Point', 'coordinates': [10.452199, 45.83860244]}",2,
24408,Temperatura,°C,1974,Grone San Fermo,1246,BG,2020-08-30T00:00:00.000,N,5066048,572800,9.93587297,45.74415628,"{'type': 'Point', 'coordinates': [9.93587297, 45.74415628]}",1,
17432,Temperatura,°C,1862,Broni,77,PV,2018-03-22T00:00:00.000,N,4987916,517630,9.22386082,45.04448039,"{'type': 'Point', 'coordinates': [9.22386082, 45.04448039]}",6,
2435,Radiazione Globale,W/m²,132,Bergamo v.Stezzano,211,BG,1993-01-01T00:00:00.000,N,5056541,551321,9.65876847,45.66051928,"{'type': 'Point', 'coordinates': [9.65876847, 45.66051928]}",1,
14125,Temperatura,°C,1328,Teglio S. Giacomo,357,SO,2012-04-20T00:00:00.000,N,5112157,580182,10.03847892,46.15827664,"{'type': 'Point', 'coordinates': [10.03847892, 46.15827664]}",7,
5876,Precipitazione,mm,573,Colico v.La Madoneta,229,LC,1990-11-06T00:00:00.000,N,5109468,529713,9.38468725,46.13814090,"{'type': 'Point', 'coordinates': [9.38468725, 46.1381409]}",5,
8145,Temperatura,°C,889,Torre Boldone,311,BG,2001-11-21T00:00:00.000,N,5063070,555269,9.71018546,45.71897778,"{'type': 'Point', 'coordinates': [9.71018546, 45.71897778]}",1,
14255,Radiazione Globale,W/m²,1346,Campodolcino Alpe Motta,1880,SO,2012-10-17T00:00:00.000,N,5141127,528341,9.36883561,46.42312151,"{'type': 'Point', 'coordinates': [9.36883561, 46.42312151]}",7,
14577,Velocità Vento,m/s,1378,Tignale Oldesio,374,BS,2013-07-23T00:00:00.000,N,5065781,633895,10.72090630,45.73263930,"{'type': 'Point', 'coordinates': [10.7209063, 45.7326393]}",2,
2123,Umidità Relativa,%,109,Sant'Angelo Lodigiano,60,LO,1993-03-11T00:00:00.000,N,5011978,529787,9.37965968,45.26066731,"{'type': 'Point', 'coordinates': [9.37965968, 45.26066731]}",8,
11021,Umidità Relativa,%,1224,Cortenova,456,LC,2010-12-22T00:00:00.000,N,5094947,529451,9.38040375,46.00746603,"{'type': 'Point', 'coordinates': [9.38040375, 46.00746603]}",5,
14018,Precipitazione,mm,1077,Oltre il Colle Zambla,1138,BG,2012-01-13T00:00:00.000,N,5082261,561209,9.78893967,45.89119304,"{'type': 'Point', 'coordinates': [9.78893967, 45.89119304]}",1,
32370,Temperatura,°C,1679,Sormano rifugio Alpetto,1158,CO,2017-11-23T00:00:00.000,N,5083535,518233,9.23506881,45.90514139,"{'type': 'Point', 'coordinates': [9.23506881, 45.90514139]}",3,
9037,Altezza Neve,cm,1077,Oltre il Colle Zambla,1138,BG,2012-10-28T00:00:00.000,N,5082261,561209,9.78893967,45.89119304,"{'type': 'Point', 'coordinates': [9.78893967, 45.89119304]}",1,
6792,Precipitazione,mm,653,Brescia v.Ziziola,125,BS,1997-10-15T00:00:00.000,N,5040836,595170,10.21846492,45.51456611,"{'type': 'Point', 'coordinates': [10.21846492, 45.51456611]}",2,
2461,Radiazione Globale,W/m²,134,Corzano Bargnano,93,BS,2003-09-12T00:00:00.000,N,5031659,581271,10.03902737,45.43372847,"{'type': 'Point', 'coordinates': [10.03902737, 45.43372847]}",2,
19434,Velocità Vento,m/s,1657,Mariano Comense campo sportivo,255,CO,2017-10-10T00:00:00.000,N,5059052,513843,9.17777300,45.68488400,"{'type': 'Point', 'coordinates': [9.177773, 45.684884]}",3,
17498,Livello Idrometrico,cm,1875,Opera Ponte Matteotti,98,MI,2018-11-19T00:00:00.000,N,5024991,515066,9.19242615,45.37827173,"{'type': 'Point', 'coordinates': [9.19242615, 45.37827173]}",8,
