idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
6915,PM10 (SM2005),µg/m³,554,Saronno v.Santuario,212,VA,Saronno,N,2003-12-16T00:00:00.000,5052646,502058,45.62735705,9.02640138,"{'type': 'Point', 'coordinates': [9.02640138, 45.62735705]}",1,1,3,
5960,Ozono,µg/m³,629,Crema v.XI febbraio,79,CR,Crema,N,1996-04-28T00:00:00.000,5023885,555127,45.36631075,9.70395139,"{'type': 'Point', 'coordinates': [9.70395139, 45.36631075]}",8,8,4,
6408,Ossidi di Azoto,µg/m³,626,Corte de' Cortesi con Cignone v. Villa Strada Forca,57,CR,Corte de' Cortesi con Cignone,N,2002-01-01T00:00:00.000,5014380,578919,45.27848997,10.00620528,"{'type': 'Point', 'coordinates': [10.00620528, 45.27848997]}",8,8,4,
5794,Monossido di Carbonio,mg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N,1994-06-16T00:00:00.000,5060449,551482,45.69568669,9.66126061,"{'type': 'Point', 'coordinates': [9.66126061, 45.69568669]}",5,5,1,
9969,Biossido di Azoto,µg/m³,679,Valmadrera v.Pozzi,247,LC,Valmadrera,N,2006-02-15T00:00:00.000,5076576,527307,45.84221272,9.35166247,"{'type': 'Point', 'coordinates': [9.35166247, 45.84221272]}",10,10,5,
6951,PM10 (SM2005),µg/m³,649,Brescia v.Broletto,149,BS,Brescia,N,2000-09-23T00:00:00.000,5043674,595467,45.54006456,10.22281989,"{'type': 'Point', 'coordinates': [10.22281989, 45.54006456]}",6,6,2,
17285,Ossidi di Azoto,µg/m³,1374,Monza Parco,181,MB,Monza,N,2013-05-01T00:00:00.000,5049780,521452,45.60307200,9.27615600,"{'type': 'Point', 'coordinates': [9.276156, 45.603072]}",12,12,5,
5721,Ozono,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,N,1998-03-17T00:00:00.000,5014273,499103,45.28196356,8.98857592,"{'type': 'Point', 'coordinates': [8.98857592, 45.28196356]}",4,4,8,
12673,Nikel,ng/m³,1264,Sondrio v.Paribelli,290,SO,Sondrio,N,2008-04-01T00:00:00.000,5113073,567873,46.16785664,9.87921169,"{'type': 'Point', 'coordinates': [9.87921169, 46.16785664]}",3,3,7,
5670,Biossido di Zolfo,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N,1994-06-16T00:00:00.000,5060449,551482,45.69568669,9.66126061,"{'type': 'Point', 'coordinates': [9.66126061, 45.69568669]}",5,5,1,
