idsensore,data,valore
10283,2021-08-16,18
10283,2021-08-17,7
10283,2021-08-18,7
10283,2021-08-19,8
10283,2021-08-20,11
10283,2021-08-21,11
10283,2021-08-22,12
10283,2021-08-23,11
10283,2021-08-24,9
10283,2021-08-25,8
10283,2021-08-26,10
10283,2021-08-27,7
10283,2021-08-28,7
10283,2021-08-29,7
10283,2021-08-30,8
10283,2021-08-31,9
10283,2021-09-01,10
10283,2021-09-02,9
10283,2021-09-03,11
10283,2021-09-04,14
10283,2021-09-05,12
10283,2021-09-06,13
10283,2021-09-07,19
10283,2021-09-08,18
10283,2021-09-09,20
10283,2021-09-14,16
10283,2021-09-15,12
10283,2021-09-16,15
10283,2021-09-17,12
10283,2021-09-18,15
10283,2021-09-19,10
10283,2021-09-20,5
10283,2021-09-21,6
10283,2021-09-22,17
10283,2021-09-23,15
10283,2021-09-24,21
10283,2021-09-25,29
10283,2021-09-26,22
10283,2021-09-27,17
10283,2021-09-28,24
10283,2021-09-29,12
10283,2021-09-30,11
10283,2021-10-01,6
10283,2021-10-02,15
10283,2021-10-03,12
10283,2021-10-04,10
10283,2021-10-05,4
10283,2021-10-06,5
10283,2021-10-07,10
10283,2021-10-08,11
10283,2021-10-09,11
10283,2021-10-10,13
10283,2021-10-11,21
10283,2021-10-12,21
10283,2021-10-13,28
10283,2021-10-14,14
10283,2021-10-15,25
10283,2021-10-16,41
10283,2021-10-17,33
10283,2021-10-18,37
10283,2021-10-19,54
10283,2021-10-20,49
10283,2021-10-21,18
10283,2021-10-22,29
10283,2021-10-23,35
10283,2021-10-24,18
10283,2021-10-25,18
10283,2021-10-26,35
10283,2021-10-27,32
10283,2021-10-28,38
10283,2021-10-29,44
10283,2021-10-30,39
10283,2021-10-31,21
10283,2021-11-01,17
10283,2021-11-02,17
10283,2021-11-03,10
10283,2021-11-04,8
10283,2021-11-05,17
10283,2021-11-06,15
10283,2021-11-07,19
10283,2021-11-08,22
10283,2021-11-09,18
10283,2021-11-10,19
10283,2021-11-11,27
10283,2021-11-12,30
10283,2021-11-13,34
10283,2021-11-14,8
10283,2021-11-15,11
10283,2021-11-16,23
10283,2021-11-17,26
10283,2021-11-18,23
10283,2021-11-19,20
10283,2021-11-20,19
10283,2021-11-21,18
10283,2021-11-22,13
10283,2021-11-23,12
10283,2021-11-24,21
10283,2021-11-25,24
10283,2021-11-26,19
10283,2021-11-27,22
10283,2021-11-28,8
10283,2021-11-29,7
10283,2021-11-30,9
10283,2021-12-01,18
10283,2021-12-02,29
10283,2021-12-03,31
10283,2021-12-04,30
10283,2021-12-05,40
10283,2021-12-06,42
10283,2021-12-07,38
10283,2021-12-08,24
10283,2021-12-09,21
10283,2021-12-10,16
10283,2021-12-11,31
10283,2021-12-12,38
10283,2021-12-13,48
10283,2021-12-14,55
10283,2021-12-15,57
10283,2021-12-16,64
10283,2021-12-17,48
10283,2021-12-18,32
10283,2021-12-19,41
10283,2021-12-20,31
10283,2021-12-21,38
10283,2021-12-22,37
10283,2021-12-23,29
10283,2021-12-24,40
10283,2021-12-25,44
10283,2021-12-26,48
10283,2021-12-27,51
10283,2021-12-28,44
10283,2021-12-29,30
10283,2021-12-30,32
10283,2021-12-31,36
10283,2022-01-01,79
10283,2022-01-02,45
10283,2022-01-03,27
10283,2022-01-04,31
10283,2022-01-05,20
10283,2022-01-06,10
10283,2022-01-07,17
10283,2022-01-08,37
10283,2022-01-09,46
10283,2022-01-11,38
10283,2022-01-12,31
10283,2022-01-13,43
10283,2022-01-14,35
10283,2022-01-15,43
10283,2022-01-16,43
10283,2022-01-17,32
10283,2022-01-18,50
10283,2022-01-19,55
10283,2022-01-20,55
