date,value,Rain,Wind,Temp,Humidity
2022-09-26,11.0,2.4,0.8595,17.3284,69.8846
2022-09-27,10.0,0.0,0.9849,18.1976,65.25
2022-09-28,13.0,6.2,1.7145,16.2038,69.3403
2022-09-29,17.0,35.8,1.0595,16.0219,84.7639
2022-09-30,8.0,2.2,1.4397,14.7469,89.6597
2022-10-01,8.0,0.0,1.1664,16.4585,75.375
2022-10-02,9.0,0.0,1.0192,18.5977,69.8889
2022-10-04,32.0,0.0,0.8099,18.923,73.6667
2022-10-05,36.0,0.0,0.8491,19.4085,71.0625
2022-10-06,52.0,0.0,0.7644,18.849,73.7292
2022-10-08,31.0,0.0,0.6193,19.3648,65.3333
2022-10-09,31.0,10.0,1.1904,17.3135,88.1319
2022-10-10,16.0,1.4,0.8567,16.9572,78.9306
2022-10-11,19.0,0.0,0.5609,17.106,77.7222
2022-10-12,25.0,0.0,0.5778,17.7272,71.6389
2022-10-13,42.0,0.0,0.5603,17.5058,73.2292
2022-10-14,57.0,0.0,0.4983,17.0269,77.6042
2022-10-15,53.0,0.0,0.538,18.4191,71.7153
2022-10-16,54.0,0.0,0.5092,19.2957,69.7708
2022-10-17,55.0,0.0,0.555,18.5185,76.1389
2022-10-18,41.0,0.0,0.6735,18.7528,73.9861
2022-10-21,35.0,0.0,2.679,17.7502,83.0764
2022-10-22,24.0,0.2,1.3397,19.1783,77.5486
2022-10-23,15.0,1.0,1.4135,18.7624,78.7222
2022-10-24,20.0,0.0,1.8632,19.7445,76.3403
2022-10-25,23.0,0.0,0.8828,19.4865,76.0278
2022-10-26,24.0,0.0,0.6379,19.5062,73.7431
2022-10-27,31.0,0.0,0.5835,18.4649,76.3333
2022-10-28,24.0,0.0,0.5116,17.7307,73.2014
2022-10-29,23.0,0.0,0.5631,17.6426,73.1319
2022-10-30,22.0,0.0,0.5092,17.1128,75.4306
2022-10-31,25.0,0.0,0.4277,17.301,71.125
2022-11-01,19.0,2.6,0.6228,15.312,83.9514
2022-11-03,30.0,25.2,1.3002,14.6771,93.15
2022-11-04,6.0,13.4,1.8882,13.5183,74.6736
2022-11-05,12.0,0.0,0.7697,12.9474,61.7778
2022-11-06,20.0,0.0,0.4897,11.3499,62.3681
2022-11-07,29.0,0.0,0.498,11.2101,68.2847
2022-11-09,34.0,5.0,0.5964,12.5065,88.125
2022-11-10,36.0,5.8,0.6805,12.7764,94.1528
2022-11-11,35.0,0.0,0.6162,12.8825,87.9931
2022-11-12,29.0,0.0,0.6788,11.4312,89.4375
2022-11-13,23.0,0.2,0.9807,12.3775,74.3542
2022-11-14,23.0,3.0,1.3186,10.6803,88.3542
2022-11-15,22.0,6.0,0.6587,8.7041,95.4931
2022-11-16,13.0,3.2,0.7836,10.3229,91.5208
2022-11-17,29.0,0.0,0.6397,10.7549,87.9583
2022-11-18,25.0,0.0,1.3024,12.6418,75.7778
2022-11-19,24.0,0.0,0.7665,10.331,73.3264
2022-11-20,23.0,0.0,0.6336,8.7224,68.3681
2022-11-21,34.0,0.2,1.3483,8.0612,73.7986
2022-11-22,16.0,25.8,1.3396,8.0192,91.1528
2022-11-23,22.0,0.0,0.7892,8.0337,76.3889
2022-11-24,25.0,0.0,0.8017,8.5499,67.5833
2022-11-25,38.0,0.0,1.1397,9.1597,75.4861
2022-11-26,45.0,0.0,0.6258,8.1975,75.4583
2022-11-27,23.0,0.0,0.6581,7.733,70.4653
2022-11-29,29.0,0.2,0.7258,6.9274,77.5139
2022-11-30,43.0,0.0,0.7047,5.5025,88.0764
2022-12-01,45.0,0.0,0.514,5.4284,82.7778
2022-12-02,27.0,0.0,1.2163,7.3154,77.5903
2022-12-03,22.0,17.6,0.6399,6.9969,93.5
2022-12-04,12.0,28.2,1.0401,7.7444,98.4583
2022-12-05,14.0,4.2,1.5485,8.2821,98.0208
2022-12-06,23.0,0.2,0.5922,5.5516,86.7917
2022-12-07,42.0,0.0,0.6174,3.6661,89.6319
2022-12-08,35.0,0.0,0.5983,4.8031,87.7569
2022-12-09,26.0,12.6,1.006,4.6776,96.8333
2022-12-10,22.0,0.0,1.1851,4.2155,94.0139
2022-12-11,14.0,0.0,1.1405,4.0395,80.3681
2022-12-12,22.0,0.0,0.9088,2.4616,84.0347
2022-12-14,42.0,0.0,0.735,3.2504,78.0486
2022-12-16,25.0,0.4,0.993,3.5054,95.0903
2022-12-18,30.0,0.0,0.7234,5.7265,93.6736
2022-12-19,39.0,0.0,0.788,5.1956,90.4792
2022-12-20,38.0,0.0,0.8606,5.7474,81.7639
2022-12-21,34.0,1.4,0.7585,6.4896,81.7431
2022-12-22,41.0,0.0,0.8103,7.6094,81.6389
2022-12-23,59.0,0.0,0.789,8.2196,86.8542
2022-12-24,64.0,0.0,0.9903,8.863,90.5208
2022-12-25,55.0,0.0,0.7938,9.596,86.9792
2022-12-26,46.0,0.0,0.7674,9.7257,90.5625
2022-12-27,41.0,0.0,0.9189,8.8062,89.0903
2022-12-28,52.0,0.0,0.5073,8.5276,89.4028
2022-12-30,33.0,2.6,0.7585,8.4843,96.4861
2022-12-31,44.0,1.4,0.6929,8.2971,86.5139
2023-01-01,62.0,4.4,0.7231,8.5244,99.0
2023-01-02,27.0,2.8,0.4684,9.5673,99.0
2023-01-03,17.0,8.8,0.682,10.0683,99.0
2023-01-04,23.0,0.2,0.6611,9.9381,96.3056
2023-01-05,28.0,0.0,1.3039,9.43,86.3611
2023-01-06,33.0,0.0,1.0429,8.6774,94.6111
2023-01-08,25.0,31.2,1.1271,7.5644,96.6944
2023-01-09,11.0,0.8,1.6482,8.1578,83.5139
2023-01-10,4.0,0.0,1.7122,10.156,32.4406
2023-01-11,29.0,0.0,0.5043,7.2265,52.8472
2023-01-12,43.0,0.0,0.5969,6.8017,65.0417
2023-01-13,51.0,0.0,0.6689,6.8593,71.2042
2023-01-14,38.0,0.0,1.249,6.5026,74.5417
2023-01-15,50.0,0.6,0.7129,6.898,88.3472
2023-01-16,39.0,0.2,1.1192,4.9177,94.8811
2023-01-17,26.0,4.2,1.0256,3.8272,95.0417
2023-01-18,29.0,0.0,0.9465,2.9783,92.9167
2023-01-19,18.0,4.6,1.1044,3.0822,88.5069
2023-01-21,17.0,0.0,0.9801,4.5928,39.7917
2023-01-22,21.0,0.0,0.9349,4.9855,59.5625
2023-01-23,30.0,0.0,0.7146,4.3612,62.0208
2023-01-24,23.0,0.0,0.8209,8.2805,66.4722
2023-01-25,28.0,0.0,0.8292,7.2272,77.7692
2023-01-26,32.0,0.0,1.1394,6.0651,72.5903
2023-01-27,26.0,0.0,1.288,4.765,61.2153
2023-01-28,33.0,0.0,0.6281,4.6364,58.5417
2023-01-29,35.0,0.0,0.7001,4.5256,60.5833
2023-01-30,41.0,0.0,1.1286,5.0177,64.1944
2023-01-31,55.0,0.0,1.1047,5.5744,69.0972
2023-02-01,33.0,0.0,1.2148,8.3781,60.3819
2023-02-02,16.0,0.0,1.4126,10.3135,51.9514
2023-02-03,27.0,0.0,1.2365,9.7849,55.5
2023-02-04,20.0,0.0,2.3428,12.9381,47.3611
2023-02-05,13.0,0.0,2.8727,7.1026,56.6042
2023-02-06,13.0,0.0,2.5294,5.1287,61.6319
2023-02-09,18.0,0.0,1.3349,2.5535,42.7847
2023-02-10,41.0,0.0,0.4874,4.7475,47.7917
2023-02-11,52.0,0.0,0.7307,5.3386,48.5417
2023-02-12,47.0,0.0,1.146,7.6608,44.4931
2023-02-13,52.0,0.0,0.5569,8.1283,53.7917
2023-02-14,61.0,0.0,0.7512,8.5975,58.8194
2023-02-15,72.0,0.0,0.4456,9.5349,58.6528
2023-02-16,50.0,0.0,0.9531,9.8554,64.0069
2023-02-17,23.0,0.0,1.0068,10.3125,69.1319
2023-02-18,18.0,0.0,1.2434,10.7788,68.0625
2023-02-19,21.0,0.0,1.1333,10.944,73.4514
2023-02-20,67.0,0.0,1.0643,9.9097,79.5486
2023-02-21,53.0,0.0,0.718,10.6288,76.0486
2023-02-22,62.0,0.0,0.8347,11.5072,75.6597
2023-02-23,59.0,0.0,1.0989,12.1552,74.3333
2023-02-24,57.0,2.0,0.7213,11.8233,78.3472
2023-02-25,34.0,0.0,1.1655,11.7936,77.8819
2023-02-26,16.0,3.4,2.226,5.5147,82.2153
2023-02-27,7.0,3.8,1.0931,4.2861,78.4444
2023-02-28,18.0,0.0,0.9041,6.1269,59.2917
