date,value,Rain,Wind,Temp,Humidity,value_dayb
2022-08-20,12.9,0.0,1.068,26.966,49.1042,10.5
2022-08-21,10.5,0.0,0.7624,27.4019,40.6111,12.9
2022-08-22,14.5,0.0,1.1596,27.5891,42.3403,10.5
2022-08-23,18.8,0.0,1.5927,27.2317,41.6875,14.5
2022-08-24,18.1,0.0,1.7958,26.948,44.5625,18.8
2022-08-25,20.6,0.0,0.8635,27.6807,45.0486,18.1
2022-08-26,24.5,0.0,1.1029,27.6241,47.9583,20.6
2022-08-27,16.8,0.0,2.0599,26.204,53.0625,24.5
2022-08-28,14.5,0.0,1.0599,26.5269,55.2986,16.8
2022-08-29,18.7,0.0,1.0183,27.5535,52.8333,14.5
2022-08-30,29.9,0.0,1.4681,25.8801,62.8542,18.7
2022-08-31,18.5,4.2,1.5885,24.1905,66.7569,29.9
2022-08-31,18.5,4.2,1.5885,24.1905,66.7569,18.5
2022-09-01,16.8,0.0,2.0566,24.524,60.1389,18.5
2022-09-02,20.1,0.0,1.8073,23.727,54.3958,16.8
2022-09-03,23.0,0.0,1.9101,23.692,54.9097,20.1
2022-09-04,22.7,0.0,0.9039,24.5748,58.7361,23.0
2022-09-04,22.7,0.0,0.9039,24.5748,58.7361,22.7
2022-09-05,26.1,0.0,1.1524,25.9867,55.5833,22.7
2022-09-06,26.9,0.0,1.0312,26.3455,55.3611,26.1
2022-09-08,23.7,2.2,1.6016,25.1694,63.5,26.9
2022-09-09,23.2,0.0,1.7396,24.2401,60.0208,23.7
2022-09-09,23.2,0.0,1.7396,24.2401,60.0208,23.2
2022-09-10,13.7,0.0,1.1117,23.4988,50.4653,23.2
2022-09-11,15.1,0.0,1.0758,23.9176,48.9097,13.7
2022-09-12,21.7,0.0,0.9803,23.9499,49.0347,15.1
2022-09-14,22.2,0.0,1.0253,24.8334,59.7361,21.7
2022-09-15,24.6,0.0,1.0473,25.6443,56.0625,22.2
2022-09-17,14.4,0.0,2.4351,20.2417,43.7639,24.6
2022-09-17,14.4,0.0,2.4351,20.2417,43.7639,14.4
2022-09-18,8.6,0.0,1.6072,20.1419,27.2639,14.4
2022-09-19,11.3,0.0,1.2431,21.1501,28.7431,8.6
2022-09-20,18.6,0.0,1.4942,19.4233,37.5903,11.3
2022-09-21,20.1,0.0,2.4451,18.1865,49.9514,18.6
2022-09-23,23.4,0.0,1.3151,18.4776,45.9028,20.1
2022-09-24,33.1,8.0,1.3568,15.8219,74.0278,23.4
2022-09-25,22.6,0.0,0.8342,16.0917,81.2222,33.1
2022-09-26,17.9,2.4,0.8595,17.3284,69.8846,22.6
2022-09-27,18.9,0.0,0.9849,18.1976,65.25,17.9
2022-09-28,28.2,6.2,1.7145,16.2038,69.3403,18.9
2022-09-29,29.4,35.8,1.0595,16.0219,84.7639,28.2
2022-09-30,12.0,2.2,1.4397,14.7469,89.6597,29.4
2022-10-01,14.7,0.0,1.1664,16.4585,75.375,12.0
2022-10-02,17.5,0.0,1.0192,18.5977,69.8889,14.7
2022-10-03,31.1,0.0,1.1094,18.8022,72.3125,17.5
2022-10-03,31.1,0.0,1.1094,18.8022,72.3125,31.1
2022-10-04,49.0,0.0,0.8099,18.923,73.6667,31.1
2022-10-05,52.4,0.0,0.8491,19.4085,71.0625,49.0
2022-10-06,74.9,0.0,0.7644,18.849,73.7292,52.4
2022-10-07,55.7,0.0,0.5217,19.454,67.0764,74.9
2022-10-07,55.7,0.0,0.5217,19.454,67.0764,55.7
2022-10-08,49.8,0.0,0.6193,19.3648,65.3333,55.7
2022-10-09,39.9,10.0,1.1904,17.3135,88.1319,49.8
2022-10-10,30.2,1.4,0.8567,16.9572,78.9306,39.9
2022-10-11,34.9,0.0,0.5609,17.106,77.7222,30.2
2022-10-12,44.8,0.0,0.5778,17.7272,71.6389,34.9
2022-10-13,67.0,0.0,0.5603,17.5058,73.2292,44.8
2022-10-15,74.0,0.0,0.538,18.4191,71.7153,67.0
2022-10-17,80.1,0.0,0.555,18.5185,76.1389,74.0
2022-10-18,60.2,0.0,0.6735,18.7528,73.9861,80.1
2022-10-19,60.1,0.0,0.5738,18.8529,72.8264,60.2
2022-10-19,60.1,0.0,0.5738,18.8529,72.8264,60.1
2022-10-20,65.2,0.0,0.7467,18.4311,71.3958,60.1
2022-10-20,65.2,0.0,0.7467,18.4311,71.3958,65.2
2022-10-21,53.6,0.0,2.679,17.7502,83.0764,65.2
2022-10-22,40.7,0.2,1.3397,19.1783,77.5486,53.6
2022-10-23,28.5,1.0,1.4135,18.7624,78.7222,40.7
2022-10-24,42.9,0.0,1.8632,19.7445,76.3403,28.5
2022-10-25,43.6,0.0,0.8828,19.4865,76.0278,42.9
2022-10-26,48.7,0.0,0.6379,19.5062,73.7431,43.6
2022-10-27,61.1,0.0,0.5835,18.4649,76.3333,48.7
2022-10-28,50.8,0.0,0.5116,17.7307,73.2014,61.1
2022-10-29,45.5,0.0,0.5631,17.6426,73.1319,50.8
2022-10-30,41.1,0.0,0.5092,17.1128,75.4306,45.5
2022-11-01,35.3,2.6,0.6228,15.312,83.9514,41.1
2022-11-02,36.7,0.0,0.7042,14.0981,88.8889,35.3
2022-11-02,36.7,0.0,0.7042,14.0981,88.8889,36.7
2022-11-03,42.4,25.2,1.3002,14.6771,93.15,36.7
2022-11-04,11.2,13.4,1.8882,13.5183,74.6736,42.4
2022-11-05,22.8,0.0,0.7697,12.9474,61.7778,11.2
2022-11-06,31.2,0.0,0.4897,11.3499,62.3681,22.8
2022-11-07,45.4,0.0,0.498,11.2101,68.2847,31.2
2022-11-08,43.8,0.0,0.5424,12.9682,65.6875,45.4
2022-11-08,43.8,0.0,0.5424,12.9682,65.6875,43.8
2022-11-09,45.0,5.0,0.5964,12.5065,88.125,43.8
2022-11-10,44.9,5.8,0.6805,12.7764,94.1528,45.0
2022-11-11,46.9,0.0,0.6162,12.8825,87.9931,44.9
2022-11-12,38.7,0.0,0.6788,11.4312,89.4375,46.9
2022-11-14,29.1,3.0,1.3186,10.6803,88.3542,38.7
2022-11-15,29.9,6.0,0.6587,8.7041,95.4931,29.1
2022-11-16,18.3,3.2,0.7836,10.3229,91.5208,29.9
2022-11-17,42.4,0.0,0.6397,10.7549,87.9583,18.3
2022-11-19,36.0,0.0,0.7665,10.331,73.3264,42.4
2022-11-20,32.7,0.0,0.6336,8.7224,68.3681,36.0
2022-11-21,48.8,0.2,1.3483,8.0612,73.7986,32.7
2022-11-22,20.3,25.8,1.3396,8.0192,91.1528,48.8
2022-11-23,39.0,0.0,0.7892,8.0337,76.3889,20.3
2022-11-24,41.9,0.0,0.8017,8.5499,67.5833,39.0
2022-11-25,55.4,0.0,1.1397,9.1597,75.4861,41.9
2022-11-27,37.4,0.0,0.6581,7.733,70.4653,55.4
2022-11-28,41.5,0.0,0.8234,7.8949,73.0208,37.4
2022-11-28,41.5,0.0,0.8234,7.8949,73.0208,41.5
2022-11-29,42.7,0.2,0.7258,6.9274,77.5139,41.5
2022-11-30,58.6,0.0,0.7047,5.5025,88.0764,42.7
2022-12-01,59.9,0.0,0.514,5.4284,82.7778,58.6
2022-12-02,40.6,0.0,1.2163,7.3154,77.5903,59.9
2022-12-03,27.7,17.6,0.6399,6.9969,93.5,40.6
