idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,utm_nord,utm_est,lat,lng,location,:@computed_region_6hky_swhk,:@computed_region_ttgh_9sm5,:@computed_region_af5v_nc64,datastop
5768,PM10,µg/m³,562,Mariano Comense v.le Lombardia,256,CO,Mariano Comense,S,1999-01-01T00:00:00.000,5059472,514067,45.68865731,9.18065777,"{'type': 'Point', 'coordinates': [9.18065777, 45.68865731]}",2,2,3,2003-08-27T00:00:00.000
6636,Particolato Totale Sospeso,µg/m³,510,Inzago v.le Gramsci,138,MI,Inzago,S,1990-12-27T00:00:00.000,5043030,538012,45.53976956,9.48689669,"{'type': 'Point', 'coordinates': [9.48689669, 45.53976956]}",4,4,8,2010-02-19T00:00:00.000
20082,Ammoniaca,µg/m³,573,Colico v.La Madoneta,229,LC,Colico,N,2013-11-20T00:00:00.000,5109468,529713,46.13814090,9.38468725,"{'type': 'Point', 'coordinates': [9.38468725, 46.1381409]}",10,10,5,
6731,Biossido di Zolfo,µg/m³,645,Voghera v.Repubblica,100,PV,Voghera,S,2002-03-07T00:00:00.000,4981380,500562,44.98587178,9.00714089,"{'type': 'Point', 'coordinates': [9.00714089, 44.98587178]}",7,7,6,2003-08-08T00:00:00.000
9968,Ossidi di Azoto,µg/m³,679,Valmadrera v.Pozzi,247,LC,Valmadrera,N,2006-02-16T00:00:00.000,5076576,527307,45.84221272,9.35166247,"{'type': 'Point', 'coordinates': [9.35166247, 45.84221272]}",10,10,5,
6318,Ossidi di Azoto,µg/m³,505,Legnano v.Diaz,199,MI,Legnano,S,1990-01-10T00:00:00.000,5049180,493668,45.59538900,8.92203900,"{'type': 'Point', 'coordinates': [8.922039, 45.595389]}",4,4,8,2018-07-30T00:00:00.000
5675,Biossido di Zolfo,µg/m³,565,Cantù v.Meucci,369,CO,Cantù,S,1993-10-01T00:00:00.000,5064150,509783,45.73083728,9.12573936,"{'type': 'Point', 'coordinates': [9.12573936, 45.73083728]}",2,2,3,1997-08-05T00:00:00.000
10089,Monossido di Carbonio,mg/m³,696,Monzambano campo sportivo,88,MN,Monzambano,S,2006-12-01T00:00:00.000,5027572,632338,45.38915861,10.69058081,"{'type': 'Point', 'coordinates': [10.69058081, 45.38915861]}",9,9,4,2020-08-01T00:00:00.000
20455,BlackCarbon,µg/m³,501,Milano v.Marche,129,MI,Milano,N,2020-11-25T00:00:00.000,5038105,514918,45.49631883,9.19093444,"{'type': 'Point', 'coordinates': [9.19093444, 45.49631883]}",4,4,8,
5565,Biossido di Azoto,µg/m³,562,Mariano Comense v.le Lombardia,256,CO,Mariano Comense,S,1991-02-17T00:00:00.000,5059472,514067,45.68865731,9.18065777,"{'type': 'Point', 'coordinates': [9.18065777, 45.68865731]}",2,2,3,2015-03-01T00:00:00.000
